Name: D.Banks
Date: 2020-03-17

IMAGE NO., DETECTOR TYPE, DESCRIPTOR TYPE, TOTAL KEYPOINTS, TTC LIDAR, TTC CAMERA, 
0, SHITOMASI, BRISK, 1723, 1.07441e-311, 1.07441e-311
1, SHITOMASI, BRISK, 1759, 12.3245, 14.1119

0, SHITOMASI, BRIEF, 1723, 1.07441e-311, 1.07441e-311
1, SHITOMASI, BRIEF, 1759, 12.3245, 13.8948

1, SHITOMASI, ORB, 1759, 12.3245, 13.8801

1, SHITOMASI, FREAK, 1759, 12.3245, 13.7249

0, SHITOMASI, SIFT, 1723, 1.07441e-311, 4.15509e-321
1, SHITOMASI, SIFT, 1759, 12.3245, 14.0746

1, HARRIS, BRISK, 209, 4.13533e-321, 1.6976e-313





1, FAST, BRISK, 1898, 12.3245, 12.3

1, FAST, BRIEF, 1898, 12.3245, 11.1776

1, FAST, ORB, 1898, 12.3245, 11.9993

1, FAST, FREAK, 1898, 12.3245, 11.9
3, FAST, FREAK, 1840, 16.3633, 13.2117

1, FAST, SIFT, 1898, 12.3245, 12.3317

1, BRISK, BRISK, 3000, 12.3245, 13.031

1, BRISK, BRIEF, 3000, 12.3245, 14.863

1, BRISK, ORB, 3000, 12.3245, 26.2405

1, BRISK, FREAK, 3000, 12.3245, 12.3601

1, BRISK, SIFT, 3000, 12.3245, 13.7021

1, ORB, BRISK, 500, 12.3245, 37.4084
5, ORB, BRISK, 500, 12.6624, inf
6, ORB, BRISK, 500, 13.6958, 11.1075

1, ORB, BRIEF, 500, 12.3245, 27.5288
5, ORB, BRIEF, 500, 12.6624, 30.2058
6, ORB, BRIEF, 500, 13.6958, -48.152

1, ORB, ORB, 500, 12.3245, inf
5, ORB, ORB, 500, 12.6624, inf
6, ORB, ORB, 500, 13.6958, 18.4549

1, ORB, FREAK, 500, 12.3245, 12.0569
5, ORB, FREAK, 500, 12.6624, 231.042
6, ORB, FREAK, 500, 13.6958, 12.8194
9, ORB, FREAK, 500, 12.0968, 20.7736

1, ORB, SIFT, 500, 12.3245, 14.3109
5, ORB, SIFT, 500, 12.6624, 47.3482
6, ORB, SIFT, 500, 13.6958, 15.1309

1, AKAZE, BRISK, 1541, 12.3245, 16.6557

1, AKAZE, BRIEF, 1541, 12.3245, 19.0025

1, AKAZE, ORB, 1541, 12.3245, 15.9469

1, AKAZE, FREAK, 1541, 12.3245, 13.0099

1, AKAZE, AKAZE, 1541, 12.3245, 14.1092

1, AKAZE, SIFT, 1541, 12.3245, 12.4519

1, SIFT, BRISK, 1915, 12.3245, 11.5918

1, SIFT, BRIEF, 1915, 12.3245, 12.2506

1, SIFT, FREAK, 1915, 12.3245, 11.2638

1, SIFT, SIFT, 1915, 12.3245, 11.3868

